City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Souillac,MU,-20.5167,57.5167,79.18,65,75,11.5,broken clouds
227,Oudtshoorn,ZA,-33.5907,22.2014,64.76,66,100,12.1,overcast clouds
228,Terney,RU,45.0503,136.6092,16.97,63,77,23.76,broken clouds
229,Chapais,CA,49.7834,-74.8492,19.18,87,100,13.96,overcast clouds
230,Pimentel,PE,-6.8367,-79.9342,77.29,57,0,14.97,clear sky
231,Cidreira,BR,-30.1811,-50.2056,75.7,70,7,9.42,clear sky
232,Kamenka,RU,51.3223,42.7678,20.75,64,9,10.6,clear sky
233,Waipawa,NZ,-41.4122,175.5153,54.23,95,100,6.38,overcast clouds
234,Poronaysk,RU,49.2167,143.1167,23.45,96,100,17.49,snow
235,Trinidad,BO,-14.8333,-64.9,84.18,45,75,18.41,broken clouds
236,Pisco,PE,-13.7,-76.2167,70.02,78,75,6.91,broken clouds
237,Nichlaul,IN,27.3167,83.7333,58.03,51,39,4.25,scattered clouds
238,Muros,ES,42.7762,-9.0603,59.5,87,22,2.21,few clouds
239,Svetlaya,RU,46.5389,138.3297,21.74,59,100,18.63,overcast clouds
240,Quthing,LS,-30.4,27.7003,73.27,47,84,4.63,broken clouds
241,Kragero,NO,58.8693,9.4149,38.44,96,100,3.58,overcast clouds
242,Caravelas,BR,-17.7125,-39.2481,84.27,62,69,11.34,broken clouds
243,Thinadhoo,MV,0.5333,72.9333,80.02,78,95,5.93,overcast clouds
244,Shenyang,CN,41.7922,123.4328,12.22,73,0,2.24,clear sky
245,Suhbaatar,MN,50.2314,106.2078,-1.17,96,33,1.01,scattered clouds
246,Pakokku,MM,21.3333,95.1,71.02,61,3,3.78,clear sky
247,Katobu,ID,-4.9408,122.5276,76.96,92,82,3.33,broken clouds
248,Doha,QA,25.2867,51.5333,69.78,68,0,9.22,clear sky
249,Rajauri,IN,33.3833,74.3,50.0,37,100,3.94,overcast clouds
250,Romny,UA,50.751,33.4747,36.43,77,100,12.57,light rain
251,Hasaki,JP,35.7333,140.8333,48.6,58,63,12.5,broken clouds
252,San-Pedro,CI,4.7485,-6.6363,82.53,73,13,8.12,few clouds
253,Filingue,NE,14.3521,3.3168,87.3,10,32,7.11,scattered clouds
254,Guerrero Negro,MX,27.9769,-114.0611,64.18,49,5,3.83,clear sky
255,Saraza,PH,8.7356,117.78,79.56,88,100,11.25,overcast clouds
256,Dubbo,AU,-32.25,148.6167,59.13,82,0,13.8,clear sky
257,Matay,EG,28.419,30.7792,68.05,46,100,8.5,overcast clouds
258,Khorramshahr,IR,30.4397,48.1664,60.76,44,0,6.91,clear sky
259,Imamoglu,TR,37.2651,35.6572,60.03,56,52,4.61,broken clouds
260,Namibe,AO,-15.1961,12.1522,72.95,72,10,8.95,clear sky
261,Mareeba,AU,-17.0,145.4333,75.92,95,77,2.46,broken clouds
262,Burla,IN,21.5,83.8667,66.99,54,0,2.57,clear sky
263,Nuuk,GL,64.1835,-51.7216,20.01,86,20,16.11,few clouds
264,Fortuna,US,40.5982,-124.1573,48.65,76,90,1.01,overcast clouds
265,Kautokeino,NO,69.0125,23.0412,15.6,97,100,12.17,overcast clouds
266,Cabra,ES,37.4725,-4.4421,65.64,52,1,1.39,clear sky
267,Keningau,MY,5.3378,116.1602,75.65,99,100,1.19,overcast clouds
268,Weiser,US,44.251,-116.9693,46.02,75,100,5.64,overcast clouds
269,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,64,75,17.9,broken clouds
270,Gorele,TR,41.0308,39.0031,56.64,48,20,9.6,few clouds
271,Lakatoro,VU,-16.0999,167.4164,81.28,85,100,16.33,overcast clouds
272,Haines Junction,CA,60.7522,-137.5108,-4.05,59,100,4.61,overcast clouds
273,Bud,US,39.447,-86.1758,44.69,57,20,12.88,few clouds
274,Lhokseumawe,ID,5.1801,97.1507,76.59,83,44,4.34,scattered clouds
275,Labuhan,ID,-6.8844,112.2051,78.71,86,56,9.26,broken clouds
276,Aldan,RU,58.6031,125.3894,-26.54,93,18,5.3,few clouds
277,Rotnes,NO,60.0571,10.8614,33.48,94,100,2.17,overcast clouds
278,Berea,US,41.3662,-81.8543,44.49,56,1,1.99,clear sky
279,Amaraji,BR,-8.3831,-35.4525,83.05,38,29,14.7,scattered clouds
280,Tabou,CI,4.423,-7.3528,82.67,74,26,9.15,scattered clouds
281,Quatre Cocos,MU,-20.2078,57.7625,78.91,71,100,17.31,overcast clouds
282,Dera Bugti,PK,29.0307,69.151,56.93,28,0,3.18,clear sky
283,Dingle,PH,10.9995,122.6711,75.24,94,86,7.74,overcast clouds
284,Bunia,CD,1.5667,30.25,69.91,42,95,5.91,overcast clouds
285,Ukiah,US,39.1502,-123.2078,51.64,95,90,6.91,mist
286,Saint-Denis,FR,48.9167,2.3333,52.48,95,90,1.01,overcast clouds
287,Jumla,NP,29.2747,82.1838,36.91,44,13,5.57,few clouds
288,Limbang,MY,4.75,115.0,79.11,95,99,1.77,overcast clouds
289,Bilma,NE,18.6853,12.9164,72.68,9,7,9.42,clear sky
290,Egvekinot,RU,66.3167,-179.1667,-24.25,87,16,6.15,few clouds
291,Sitka,US,57.0531,-135.33,35.49,69,90,17.27,moderate rain
292,Union,US,40.6334,-74.2663,48.29,40,1,10.36,clear sky
293,Ahipara,NZ,-35.1667,173.1667,66.18,97,100,5.14,overcast clouds
294,Bartica,GY,6.4,-58.6167,79.12,98,100,2.15,light rain
295,Chuy,UY,-33.6971,-53.4616,81.73,47,1,9.26,clear sky
296,Hailar,CN,49.2,119.7,6.26,84,100,11.16,overcast clouds
297,Rancho Mirage,US,33.7397,-116.4128,66.96,32,1,4.61,clear sky
298,Lardos,GR,36.0942,28.0157,64.22,73,0,14.25,clear sky
299,Ilhabela,BR,-23.7781,-45.3581,79.68,71,70,2.68,broken clouds
300,Nova Borova,UA,50.693,28.6345,40.03,93,100,7.65,overcast clouds
