City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Kruisfontein,ZA,2021-12-09 21:49:21,-34.0033,24.7314,65.88,96,98,2.46
170,San Quintin,MX,2021-12-09 21:49:22,30.4833,-115.95,61.86,81,100,10.65
171,Borba,BR,2021-12-09 21:49:22,-4.3878,-59.5939,77.49,92,99,2.46
172,Verkhoyansk,RU,2021-12-09 21:49:22,67.5447,133.385,-40.52,99,96,1.57
173,Tianpeng,CN,2021-12-09 21:49:23,30.9866,103.9393,50.47,77,100,2.62
174,Tuatapere,NZ,2021-12-09 21:49:23,-46.1333,167.6833,59.83,57,9,2.28
175,Lorengau,PG,2021-12-09 21:49:23,-2.0226,147.2712,82.15,79,98,25.01
176,Ilulissat,GL,2021-12-09 21:49:24,69.2167,-51.1,24.82,33,80,14.97
177,Westport,US,2021-12-09 21:45:39,41.1415,-73.3579,37.98,61,90,1.99
178,Belaya Gora,RU,2021-12-09 21:50:24,68.5333,146.4167,-37.28,97,100,2.51
179,Mar Del Plata,AR,2021-12-09 21:50:25,-38.0023,-57.5575,69.82,88,0,28.01
180,Port Alfred,ZA,2021-12-09 21:50:25,-33.5906,26.891,70.52,91,35,8.19
181,Tilichiki,RU,2021-12-09 21:50:25,60.4667,166.1,-17.34,89,5,8.03
182,Vaitape,PF,2021-12-09 21:50:26,-16.5167,-151.75,81.1,68,43,11.86
183,Nanyang,CN,2021-12-09 21:50:26,32.9947,112.5328,44.29,67,22,2.62
184,Rio Gallegos,AR,2021-12-09 21:47:04,-51.6226,-69.2181,66.25,45,40,16.11
185,Mutis,CO,2021-12-09 21:50:27,6.2262,-77.4044,80.92,85,26,3.67
186,Eureka,US,2021-12-09 21:49:18,40.8021,-124.1637,52.93,66,7,8.01
187,Dicabisagan,PH,2021-12-09 21:50:27,17.0818,122.4157,74.01,77,100,9.1
188,Gasa,PS,2021-12-09 21:50:27,31.5,34.4667,56.91,73,1,4.61
189,Margate,GB,2021-12-09 21:50:28,51.3813,1.3862,46.31,85,100,4.0
190,Maldonado,UY,2021-12-09 21:50:28,-34.6667,-54.9167,70.99,66,23,14.14
191,Wawa,NG,2021-12-09 21:50:28,9.9022,4.4192,77.04,24,1,5.88
192,Clyde River,CA,2021-12-09 21:50:29,70.4692,-68.5914,-9.17,84,20,5.75
193,Alibag,IN,2021-12-09 21:50:29,18.6411,72.8792,78.87,61,0,7.9
194,Abha,SA,2021-12-09 21:50:29,18.2164,42.5053,51.62,11,0,4.61
195,Fairbanks,US,2021-12-09 21:45:33,64.8378,-147.7164,3.97,82,75,0.0
196,Teya,RU,2021-12-09 21:50:30,60.3778,92.6267,9.64,88,100,11.99
197,Sioux Lookout,CA,2021-12-09 21:50:30,50.1001,-91.917,24.87,86,90,6.91
198,Mtwara,TZ,2021-12-09 21:50:30,-10.2667,40.1833,78.44,77,7,7.2
199,Puri,IN,2021-12-09 21:50:31,19.8,85.85,66.72,87,4,8.5
200,Xinyu,CN,2021-12-09 21:50:31,27.8043,114.9334,50.85,72,1,3.29
201,Pevek,RU,2021-12-09 21:50:31,69.7008,170.3133,-23.84,98,100,8.61
202,Rio Grande,BR,2021-12-09 21:50:32,-32.035,-52.0986,73.51,67,16,13.73
203,Suntar,RU,2021-12-09 21:50:32,62.1444,117.6319,-1.52,88,100,8.19
204,Qurayyat,SA,2021-12-09 21:50:33,31.3318,37.3428,46.58,76,0,0.0
205,Rawson,AR,2021-12-09 21:50:33,-43.3002,-65.1023,59.86,60,3,12.71
206,Bandrele,YT,2021-12-09 21:50:33,-12.9067,45.1914,80.35,74,20,9.22
207,Kommunisticheskiy,RU,2021-12-09 21:50:34,61.6789,64.4819,19.74,96,100,7.58
208,Port Blair,IN,2021-12-09 21:50:34,11.6667,92.75,78.17,72,19,10.29
209,Provideniya,RU,2021-12-09 21:50:34,64.3833,-173.3,5.11,78,90,17.9
210,Puerto Palomas,MX,2021-12-09 21:50:35,31.7667,-107.6167,67.33,26,87,17.31
211,Sotnikovo,RU,2021-12-09 21:50:35,51.8845,107.4791,12.29,62,40,13.42
212,Amuntai,ID,2021-12-09 21:50:35,-2.4177,115.2494,73.81,99,99,1.28
213,Vao,NC,2021-12-09 21:50:36,-22.6667,167.4833,78.87,82,7,14.25
214,Maumere,ID,2021-12-09 21:50:36,-8.6199,122.2111,80.06,82,85,4.83
215,Esperance,AU,2021-12-09 21:50:36,-33.8667,121.9,62.44,61,30,16.31
216,San Cristobal,VE,2021-12-09 21:50:37,7.7669,-72.225,73.58,83,91,2.48
217,Vredendal,ZA,2021-12-09 21:50:37,-31.6683,18.5012,64.4,88,7,7.61
218,Souillac,MU,2021-12-09 21:50:38,-20.5167,57.5167,73.78,88,75,10.36
219,Angoram,PG,2021-12-09 21:50:38,-4.0625,144.0661,77.58,92,98,2.84
220,Buta,CD,2021-12-09 21:50:39,2.7858,24.73,72.32,62,5,1.28
221,Shache,CN,2021-12-09 21:50:39,38.4167,77.2406,34.09,26,9,10.89
222,Korla,CN,2021-12-09 21:51:39,41.7597,86.1469,29.5,65,98,11.1
223,Shelburne,CA,2021-12-09 21:51:40,44.0787,-80.2041,25.56,84,100,13.44
224,Carutapera,BR,2021-12-09 21:51:40,-1.195,-46.02,78.71,88,99,5.64
225,Yulara,AU,2021-12-09 21:51:41,-25.2406,130.9889,67.84,28,40,8.05
226,Prabumulih,ID,2021-12-09 21:51:41,-3.45,104.25,73.36,98,100,4.27
227,Lima,PE,2021-12-09 21:48:36,-12.0432,-77.0282,68.25,68,20,16.11
228,Ilebo,CD,2021-12-09 21:51:41,-4.3167,20.5833,71.24,91,93,1.19
229,Abakaliki,NG,2021-12-09 21:51:42,6.3163,8.1169,78.76,27,15,0.81
230,Darnah,LY,2021-12-09 21:51:42,32.767,22.6367,59.9,47,58,16.8
231,Nanortalik,GL,2021-12-09 21:51:42,60.1432,-45.2371,26.1,86,100,11.41
232,Kavaratti,IN,2021-12-09 21:51:43,10.5669,72.642,81.5,71,73,10.16
233,Lahaina,US,2021-12-09 21:51:44,20.8783,-156.6825,82.4,75,30,6.08
234,Lubango,AO,2021-12-09 21:51:44,-14.9172,13.4925,64.53,62,89,0.34
235,Mkushi,ZM,2021-12-09 21:51:45,-13.6202,29.3939,76.93,39,43,10.94
236,Acapulco,MX,2021-12-09 21:51:45,16.8634,-99.8901,84.02,67,35,7.67
237,Alofi,NU,2021-12-09 21:51:45,-19.0595,-169.9187,78.69,83,90,8.05
238,Cayenne,GF,2021-12-09 21:50:06,4.9333,-52.3333,80.64,87,75,4.0
239,Zumpango,MX,2021-12-09 21:51:46,19.7978,-99.1017,74.91,23,3,3.56
240,Lodwar,KE,2021-12-09 21:51:46,3.1191,35.5973,84.15,44,64,16.69
241,Puttur,IN,2021-12-09 21:51:47,12.7667,75.2167,78.91,92,15,3.18
242,Luderitz,NA,2021-12-09 21:51:47,-26.6481,15.1594,62.22,79,0,11.63
243,Palmer,US,2021-12-09 21:51:14,42.1584,-72.3287,33.73,62,90,5.75
244,Bilma,NE,2021-12-09 21:51:48,18.6853,12.9164,64.74,14,66,8.1
245,Camacha,PT,2021-12-09 21:51:48,33.0833,-16.3333,60.53,77,40,17.27
246,Puerto Ayacucho,VE,2021-12-09 21:51:49,5.6639,-67.6236,91.18,61,80,4.83
247,Makakilo City,US,2021-12-09 21:51:49,21.3469,-158.0858,79.12,61,75,11.5
248,Vanavara,RU,2021-12-09 21:51:49,60.34,102.2797,1.17,91,100,11.39
249,Dori,BF,2021-12-09 21:51:50,14.0354,-0.0345,74.12,10,53,9.86
250,Narsaq,GL,2021-12-09 21:51:50,60.9167,-46.05,12.88,79,32,6.31
251,Auki,SB,2021-12-09 21:51:50,-8.7676,160.7034,83.48,78,100,6.93
252,Chlorakas,CY,2021-12-09 21:51:51,34.8042,32.4083,52.68,76,36,5.75
253,Fortuna,US,2021-12-09 21:51:51,40.5982,-124.1573,52.66,63,1,8.01
254,Wanning,CN,2021-12-09 21:51:52,18.8003,110.3967,66.97,82,57,7.65
255,Codajas,BR,2021-12-09 21:51:52,-3.8367,-62.0569,77.4,89,100,2.15
256,Coronado,US,2021-12-09 21:51:52,32.6859,-117.1831,61.93,86,75,10.36
257,Chumikan,RU,2021-12-09 21:51:53,54.7183,135.315,13.73,89,100,9.44
258,Talnakh,RU,2021-12-09 21:51:53,69.4865,88.3972,-21.62,99,67,6.6
259,Kaeo,NZ,2021-12-09 21:51:53,-35.1,173.7833,77.32,66,62,4.65
260,Touros,BR,2021-12-09 21:47:38,-5.1989,-35.4608,83.3,76,86,14.16
261,Kutum,SD,2021-12-09 21:51:54,14.2,24.6667,60.73,22,0,6.49
262,Ancud,CL,2021-12-09 21:51:54,-41.8697,-73.8203,78.33,63,0,5.66
263,Matagami,CA,2021-12-09 21:47:34,49.7502,-77.6328,-0.29,85,1,5.75
264,Coihaique,CL,2021-12-09 21:51:58,-45.5752,-72.0662,82.35,21,0,8.05
265,Dilla,ET,2021-12-09 21:52:55,6.41,38.31,61.41,56,68,3.91
266,Urumqi,CN,2021-12-09 21:52:56,43.801,87.6005,13.15,86,0,2.24
267,Cockburn Town,TC,2021-12-09 21:52:56,21.4612,-71.1419,80.56,61,20,9.22
268,Dunedin,NZ,2021-12-09 21:52:39,-45.8742,170.5036,54.7,81,84,7.16
269,Mumford,GH,2021-12-09 21:52:57,5.2618,-0.759,80.38,87,14,8.39
270,Tulare,US,2021-12-09 21:52:57,36.2666,-118.8009,44.85,87,100,4.56
271,Lerwick,GB,2021-12-09 21:52:58,60.1545,-1.1494,46.4,79,100,27.25
272,Manzhouli,CN,2021-12-09 21:52:58,49.6,117.4333,8.92,85,47,6.15
273,Kharan,PK,2021-12-09 21:52:58,28.5833,65.4167,52.34,23,33,3.24
274,Taoudenni,ML,2021-12-09 21:52:59,22.6783,-3.9836,67.6,11,100,12.48
275,Ossora,RU,2021-12-09 21:52:59,59.2353,163.0719,-6.47,83,5,7.02
276,Lakes Entrance,AU,2021-12-09 21:52:59,-37.8811,147.981,56.57,78,100,9.91
277,Shatrovo,RU,2021-12-09 21:53:00,56.5167,64.6333,16.68,71,94,13.58
278,Yantal,RU,2021-12-09 21:53:00,56.8471,105.2542,5.34,91,100,10.92
279,Bonthe,SL,2021-12-09 21:53:00,7.5264,-12.505,81.27,81,13,5.79
280,Santiago Del Estero,AR,2021-12-09 21:53:01,-27.7951,-64.2615,87.8,29,82,10.89
281,Oudtshoorn,ZA,2021-12-09 21:53:01,-33.5907,22.2014,66.99,79,100,4.61
282,Kieta,PG,2021-12-09 21:53:01,-6.2167,155.6333,83.97,73,97,2.82
283,Flinders,AU,2021-12-09 21:53:02,-34.5833,150.8552,64.38,81,44,14.72
284,Mehamn,NO,2021-12-09 21:53:02,71.0357,27.8492,19.31,82,62,13.76
285,Port-Gentil,GA,2021-12-09 21:53:03,-0.7193,8.7815,80.56,89,75,6.91
286,Kaka,TM,2021-12-09 21:53:03,37.3482,59.6143,54.37,28,0,6.31
287,Kuusamo,FI,2021-12-09 21:53:03,65.9667,29.1833,10.44,85,0,4.61
288,Namatanai,PG,2021-12-09 21:53:04,-3.6667,152.4333,82.71,80,78,12.68
289,Baruun-Urt,MN,2021-12-09 21:53:04,46.6806,113.2792,16.43,68,7,5.79
290,Maceio,BR,2021-12-09 21:53:04,-9.6658,-35.7353,80.04,89,20,8.05
291,Gat,IL,2021-12-09 21:53:05,31.61,34.7642,56.39,72,1,4.12
292,Awbari,LY,2021-12-09 21:53:05,26.5921,12.7805,52.66,18,37,7.74
293,Sao Gabriel Da Cachoeira,BR,2021-12-09 21:53:05,-0.1303,-67.0892,77.52,93,100,1.36
